Numero sottocartelle totali: 7253
Sottocartelle vuote: 58
Skipped (not directories - years): 0
Skipped (not directories - videos): 0
Skipped frames (_0_ filter): 0
Wells unfiltered (unique keys): 7195
Removed: 355 wells (fewer than 250 frames)
Removed: 78 wells (outliers avg interval)
Valid wells: 6762

-- Per-well detailed stats --
Outliers (avg interval):
('D2014.09.25_S1119_I141', 1): avg=17.3, min=6.3@306, max=1089.1@186, sd=48.8, outliers=1
('D2017.12.02_S01904_I0141_D', 4): avg=18.5, min=8.2@8, max=1200.6@359, sd=58.2, outliers=2
('D2017.12.02_S01904_I0141_D', 5): avg=18.5, min=8.2@8, max=1200.6@359, sd=58.2, outliers=2
('D2017.12.02_S01904_I0141_D', 6): avg=18.5, min=8.2@8, max=1200.6@359, sd=58.2, outliers=2
('D2017.12.02_S01904_I0141_D', 7): avg=18.5, min=8.2@8, max=1200.6@359, sd=58.2, outliers=2
('D2017.12.02_S01904_I0141_D', 8): avg=18.5, min=8.2@8, max=1200.6@359, sd=58.2, outliers=2
('D2017.12.04_S01907_I0141_D', 1): avg=18.4, min=14.8@500, max=1817.9@161, sd=77.8, outliers=1
('D2017.12.04_S01907_I0141_D', 2): avg=18.4, min=14.7@7, max=1817.9@161, sd=77.8, outliers=1
('D2017.12.04_S01907_I0141_D', 3): avg=18.4, min=14.5@7, max=1817.9@161, sd=77.8, outliers=1
('D2017.12.04_S01907_I0141_D', 4): avg=18.4, min=14.5@7, max=1817.9@161, sd=77.8, outliers=1
('D2017.12.04_S01907_I0141_D', 5): avg=18.4, min=14.5@7, max=1817.9@161, sd=77.8, outliers=1
('D2017.12.04_S01907_I0141_D', 6): avg=18.4, min=14.5@7, max=1817.9@161, sd=77.8, outliers=1
('D2018.12.24_S02167_I0141_D', 1): avg=17.3, min=10.0@397, max=1080.7@81, sd=48.1, outliers=1
('D2018.12.24_S02167_I0141_D', 2): avg=17.3, min=10.0@397, max=1080.8@81, sd=48.1, outliers=1
('D2018.12.24_S02167_I0141_D', 3): avg=17.3, min=10.0@397, max=1080.8@81, sd=48.2, outliers=1
('D2018.12.24_S02167_I0141_D', 4): avg=17.3, min=10.0@397, max=1080.8@81, sd=48.1, outliers=1
('D2018.12.24_S02167_I0141_D', 5): avg=17.3, min=10.0@397, max=1080.8@81, sd=48.1, outliers=1
('D2018.12.24_S02167_I0141_D', 6): avg=17.3, min=10.0@397, max=1080.8@81, sd=48.1, outliers=1
('D2018.12.24_S02167_I0141_D', 7): avg=17.3, min=10.0@397, max=1080.9@81, sd=48.2, outliers=1
('D2018.12.24_S02167_I0141_D', 8): avg=17.3, min=9.8@397, max=1081.1@81, sd=48.2, outliers=1
('D2018.12.24_S02167_I0141_D', 9): avg=17.3, min=9.8@397, max=1080.9@81, sd=48.2, outliers=1



Valid wells (inlier) stats:
('D2013.02.19_S0675_I141', 1): avg=15.1, min=14.7@488, max=30.0@186, sd=1.0, outliers=13
('D2013.02.19_S0675_I141', 2): avg=15.1, min=14.8@488, max=30.0@186, sd=1.0, outliers=13
('D2013.02.19_S0675_I141', 3): avg=15.1, min=10.8@262, max=30.0@186, sd=1.0, outliers=13
('D2013.02.19_S0675_I141', 4): avg=15.1, min=10.8@262, max=30.0@186, sd=1.0, outliers=14
('D2013.02.19_S0675_I141', 5): avg=15.1, min=10.8@262, max=30.1@186, sd=1.0, outliers=14
('D2013.02.19_S0675_I141', 6): avg=15.1, min=10.8@262, max=30.1@186, sd=1.0, outliers=14
('D2013.02.19_S0675_I141', 7): avg=15.1, min=10.8@262, max=30.0@186, sd=1.0, outliers=14
('D2013.02.19_S0675_I141', 8): avg=15.1, min=10.8@262, max=30.0@186, sd=1.0, outliers=14
('D2013.02.19_S0675_I141', 9): avg=15.1, min=10.8@262, max=30.0@186, sd=1.0, outliers=14
('D2013.03.09_S0695_I141', 1): avg=15.2, min=9.3@564, max=43.9@171, sd=1.6, outliers=12
('D2013.03.09_S0695_I141', 2): avg=15.2, min=9.3@564, max=44.0@171, sd=1.6, outliers=12
('D2013.03.09_S0695_I141', 3): avg=15.2, min=9.3@564, max=44.0@171, sd=1.6, outliers=12
('D2013.03.09_S0695_I141', 4): avg=15.2, min=9.3@564, max=44.0@171, sd=1.6, outliers=12
('D2013.03.09_S0695_I141', 5): avg=15.2, min=9.3@564, max=44.1@171, sd=1.6, outliers=12
('D2013.03.09_S0695_I141', 6): avg=15.2, min=9.3@564, max=44.1@171, sd=1.6, outliers=12
('D2013.03.09_S0695_I141', 7): avg=15.2, min=9.1@564, max=44.3@171, sd=1.6, outliers=12
('D2013.03.09_S0695_I141', 8): avg=15.2, min=9.1@564, max=44.3@171, sd=1.6, outliers=12
('D2013.03.09_S0695_I141', 9): avg=15.2, min=9.0@564, max=44.4@171, sd=1.6, outliers=12
('D2013.03.09_S0695_I141', 10): avg=15.2, min=9.0@564, max=44.5@171, sd=1.6, outliers=12
('D2013.03.09_S0695_I141', 11): avg=15.2, min=9.0@564, max=44.5@171, sd=1.6, outliers=12
('D2013.04.26_S0732_I141', 1): avg=15.1, min=5.8@67, max=33.3@288, sd=0.9, outliers=6
('D2013.04.26_S0732_I141', 2): avg=15.1, min=5.8@67, max=33.3@288, sd=0.9, outliers=6
('D2013.04.26_S0732_I141', 3): avg=15.1, min=5.8@67, max=33.3@288, sd=0.9, outliers=6
('D2013.04.26_S0732_I141', 4): avg=15.1, min=5.8@67, max=33.3@288, sd=0.9, outliers=6
('D2013.04.26_S0732_I141', 5): avg=15.1, min=5.8@67, max=33.2@288, sd=0.9, outliers=6
('D2013.04.26_S0732_I141', 6): avg=15.1, min=5.8@67, max=33.2@288, sd=1.0, outliers=5
('D2013.04.26_S0732_I141', 7): avg=15.1, min=5.8@67, max=33.2@288, sd=1.0, outliers=5
('D2013.05.03_S0739_I141', 1): avg=15.1, min=10.2@303, max=27.3@16, sd=1.1, outliers=12
('D2013.05.03_S0739_I141', 2): avg=15.1, min=9.2@268, max=27.3@16, sd=1.2, outliers=14
('D2013.05.03_S0739_I141', 3): avg=15.1, min=9.2@268, max=27.3@16, sd=1.2, outliers=14
('D2013.05.03_S0739_I141', 4): avg=15.1, min=9.2@268, max=27.3@16, sd=1.2, outliers=14
('D2013.05.03_S0739_I141', 5): avg=15.1, min=9.2@268, max=27.3@16, sd=1.2, outliers=14
('D2013.05.03_S0739_I141', 6): avg=15.1, min=9.2@268, max=27.3@16, sd=1.2, outliers=14
('D2013.05.03_S0739_I141', 7): avg=15.1, min=9.2@268, max=27.3@16, sd=1.2, outliers=14
('D2013.05.04_S0741_I141', 1): avg=15.1, min=14.1@278, max=29.0@81, sd=1.1, outliers=9
('D2013.05.04_S0741_I141', 2): avg=15.1, min=11.9@477, max=28.9@81, sd=1.1, outliers=11
('D2013.05.04_S0741_I141', 3): avg=15.1, min=11.9@477, max=28.8@81, sd=1.1, outliers=12
('D2013.05.04_S0741_I141', 4): avg=15.1, min=12.0@477, max=28.8@81, sd=1.1, outliers=12
('D2013.05.13_S0749_I141', 1): avg=15.1, min=10.3@470, max=55.5@288, sd=1.8, outliers=8
('D2013.05.13_S0749_I141', 2): avg=15.1, min=9.5@186, max=55.4@288, sd=1.9, outliers=9
('D2013.05.13_S0749_I141', 3): avg=15.1, min=9.5@186, max=55.4@288, sd=1.9, outliers=9
('D2013.05.13_S0749_I141', 4): avg=15.1, min=9.5@186, max=55.4@288, sd=1.9, outliers=11
('D2013.05.13_S0749_I141', 5): avg=15.1, min=9.5@186, max=55.4@288, sd=1.9, outliers=12
('D2013.05.13_S0749_I141', 6): avg=15.1, min=9.6@186, max=55.4@288, sd=1.9, outliers=13
('D2013.05.13_S0749_I141', 7): avg=15.1, min=9.6@186, max=55.4@288, sd=1.9, outliers=13
('D2013.05.13_S0749_I141', 8): avg=15.1, min=9.6@186, max=55.4@288, sd=1.9, outliers=13
('D2013.05.13_S0749_I141', 9): avg=15.1, min=9.6@464, max=55.4@288, sd=1.9, outliers=13
('D2013.05.13_S0749_I141', 10): avg=15.1, min=9.6@464, max=55.4@288, sd=1.9, outliers=13
('D2013.05.13_S0749_I141', 11): avg=15.1, min=9.6@464, max=55.4@288, sd=1.9, outliers=13
('D2013.05.13_S0749_I141', 12): avg=15.1, min=9.6@464, max=55.4@288, sd=1.9, outliers=13
('D2013.06.22_S0792_I141', 1): avg=15.1, min=5.9@277, max=41.1@276, sd=1.4, outliers=15
('D2013.06.22_S0792_I141', 2): avg=15.1, min=5.9@277, max=41.1@276, sd=1.5, outliers=15
('D2013.06.22_S0792_I141', 3): avg=15.1, min=5.9@277, max=41.1@276, sd=1.5, outliers=17
('D2013.06.22_S0792_I141', 4): avg=15.1, min=5.9@277, max=41.1@276, sd=1.5, outliers=17
('D2013.06.22_S0792_I141', 5): avg=15.1, min=5.9@277, max=41.2@276, sd=1.5, outliers=17
('D2013.06.22_S0792_I141', 6): avg=15.1, min=5.9@277, max=41.3@276, sd=1.5, outliers=17
('D2013.06.22_S0792_I141', 7): avg=15.1, min=5.8@277, max=41.4@276, sd=1.5, outliers=17
('D2013.06.22_S0792_I141', 8): avg=15.1, min=5.8@277, max=41.5@276, sd=1.5, outliers=17
('D2013.06.22_S0795_I141', 1): avg=15.1, min=9.4@266, max=40.0@264, sd=1.4, outliers=5
('D2013.06.22_S0795_I141', 2): avg=15.1, min=9.4@266, max=40.0@264, sd=1.4, outliers=5
('D2013.06.22_S0795_I141', 3): avg=15.1, min=9.4@266, max=40.0@264, sd=1.4, outliers=5
('D2013.06.22_S0795_I141', 4): avg=15.1, min=9.1@256, max=40.0@264, sd=1.4, outliers=7
('D2013.06.22_S0795_I141', 5): avg=15.1, min=9.1@256, max=40.0@264, sd=1.4, outliers=7
('D2013.07.15_S0811_I141', 1): avg=15.2, min=10.4@447, max=43.3@645, sd=1.7, outliers=13
('D2013.07.15_S0811_I141', 2): avg=15.2, min=10.4@447, max=43.3@645, sd=1.7, outliers=12
('D2013.07.15_S0811_I141', 3): avg=15.2, min=10.4@447, max=43.3@645, sd=1.7, outliers=12
('D2013.07.15_S0811_I141', 4): avg=15.2, min=10.5@447, max=43.3@645, sd=1.7, outliers=12
('D2013.07.15_S0811_I141', 5): avg=15.2, min=10.8@447, max=43.3@645, sd=1.7, outliers=12
('D2013.07.15_S0811_I141', 6): avg=15.2, min=10.8@447, max=43.3@645, sd=1.7, outliers=12
('D2013.07.15_S0811_I141', 7): avg=15.2, min=10.8@447, max=43.3@645, sd=1.7, outliers=12
('D2013.07.15_S0811_I141', 8): avg=15.2, min=10.7@447, max=43.3@645, sd=1.7, outliers=14
('D2013.07.15_S0811_I141', 9): avg=15.2, min=10.7@447, max=43.3@645, sd=1.7, outliers=14
('D2013.07.15_S0811_I141', 10): avg=15.2, min=9.3@285, max=43.3@645, sd=1.7, outliers=16
('D2013.07.15_S0811_I141', 11): avg=15.2, min=7.3@271, max=43.3@645, sd=1.8, outliers=18
('D2013.07.16_S0812_I141', 1): avg=15.2, min=14.6@204, max=40.0@563, sd=1.6, outliers=12
('D2013.07.16_S0812_I141', 2): avg=15.2, min=14.1@280, max=40.0@563, sd=1.6, outliers=12
('D2013.07.16_S0812_I141', 3): avg=15.2, min=14.1@280, max=40.0@563, sd=1.6, outliers=12
('D2013.07.16_S0812_I141', 4): avg=15.2, min=14.1@280, max=40.0@563, sd=1.6, outliers=13
('D2013.07.16_S0812_I141', 5): avg=15.2, min=14.1@280, max=40.0@563, sd=1.6, outliers=13
('D2013.07.16_S0812_I141', 6): avg=15.2, min=14.1@280, max=40.0@563, sd=1.6, outliers=13
('D2013.07.16_S0812_I141', 7): avg=15.2, min=14.1@280, max=40.0@563, sd=1.6, outliers=13
('D2013.07.16_S0812_I141', 8): avg=15.2, min=14.1@280, max=39.9@563, sd=1.6, outliers=13
('D2013.07.16_S0812_I141', 9): avg=15.2, min=14.1@280, max=39.9@563, sd=1.6, outliers=13
('D2013.07.20_S0815_I141', 1): avg=15.3, min=14.9@66, max=41.8@185, sd=2.3, outliers=8
('D2013.09.21_S0829_I141', 1): avg=15.1, min=12.9@263, max=31.2@462, sd=1.0, outliers=14
('D2013.09.21_S0829_I141', 2): avg=15.1, min=12.9@263, max=31.3@462, sd=1.0, outliers=14
('D2013.09.21_S0829_I141', 3): avg=15.1, min=12.9@263, max=31.3@462, sd=1.0, outliers=14
('D2013.09.21_S0829_I141', 4): avg=15.1, min=12.9@263, max=31.3@462, sd=1.0, outliers=14
('D2013.09.21_S0829_I141', 5): avg=15.1, min=12.9@263, max=31.3@462, sd=1.0, outliers=15
('D2013.09.21_S0829_I141', 6): avg=15.1, min=12.9@263, max=31.3@462, sd=1.0, outliers=15
('D2013.09.21_S0829_I141', 7): avg=15.1, min=12.9@263, max=31.3@462, sd=1.0, outliers=15
('D2013.09.21_S0829_I141', 8): avg=15.1, min=9.6@265, max=31.3@462, sd=1.0, outliers=15
('D2013.09.21_S0829_I141', 9): avg=15.1, min=9.6@265, max=31.3@462, sd=1.1, outliers=15
('D2013.09.21_S0829_I141', 10): avg=15.1, min=9.6@265, max=31.3@462, sd=1.1, outliers=15
('D2013.09.21_S0829_I141', 11): avg=15.1, min=9.6@265, max=31.3@462, sd=1.1, outliers=17
('D2013.09.21_S0829_I141', 12): avg=15.1, min=9.7@265, max=31.3@462, sd=1.1, outliers=19
('D2013.09.23_S0830_I141', 1): avg=15.2, min=12.2@467, max=26.8@286, sd=1.0, outliers=15
('D2013.09.23_S0830_I141', 2): avg=15.2, min=12.2@467, max=26.8@286, sd=1.0, outliers=15
('D2013.09.23_S0830_I141', 3): avg=15.2, min=12.2@467, max=26.8@286, sd=1.0, outliers=15
('D2013.09.23_S0830_I141', 4): avg=15.2, min=12.1@467, max=26.8@286, sd=1.0, outliers=15
('D2013.09.23_S0830_I141', 5): avg=15.2, min=12.1@467, max=26.8@286, sd=1.0, outliers=15
('D2013.09.23_S0830_I141', 6): avg=15.2, min=12.1@467, max=26.8@286, sd=1.0, outliers=15
('D2013.09.23_S0830_I141', 7): avg=15.2, min=12.1@467, max=26.8@286, sd=1.0, outliers=15
('D2013.09.23_S0830_I141', 8): avg=15.2, min=12.1@467, max=26.8@286, sd=1.0, outliers=15
('D2013.09.23_S0830_I141', 9): avg=15.2, min=12.1@467, max=26.8@286, sd=1.0, outliers=15
('D2013.09.23_S0830_I141', 10): avg=15.2, min=12.1@467, max=26.8@286, sd=1.0, outliers=15
('D2013.09.23_S0831_I141', 1): avg=15.1, min=9.1@477, max=31.3@467, sd=1.2, outliers=13
('D2013.09.23_S0831_I141', 2): avg=15.1, min=9.1@477, max=31.4@467, sd=1.2, outliers=14
('D2013.09.23_S0831_I141', 3): avg=15.1, min=9.1@477, max=31.4@467, sd=1.2, outliers=15
('D2013.09.23_S0831_I141', 4): avg=15.1, min=9.0@477, max=31.4@467, sd=1.2, outliers=15
('D2013.09.23_S0831_I141', 5): avg=15.1, min=9.0@477, max=31.4@467, sd=1.2, outliers=17
('D2013.09.27_S0834_I141', 1): avg=15.2, min=12.1@573, max=32.9@272, sd=1.4, outliers=12
('D2013.09.27_S0834_I141', 2): avg=15.2, min=12.1@573, max=32.9@272, sd=1.5, outliers=12
('D2013.09.27_S0834_I141', 3): avg=15.2, min=12.1@573, max=32.9@272, sd=1.5, outliers=12
('D2013.09.27_S0834_I141', 4): avg=15.2, min=12.1@573, max=32.9@272, sd=1.5, outliers=12
('D2013.10.01_S0838_I141', 1): avg=15.1, min=6.3@548, max=29.4@435, sd=0.9, outliers=8
('D2013.10.01_S0838_I141', 2): avg=15.1, min=6.3@548, max=29.4@435, sd=1.0, outliers=9
('D2013.10.01_S0838_I141', 3): avg=15.1, min=6.3@548, max=29.4@435, sd=1.0, outliers=9
('D2013.10.01_S0838_I141', 4): avg=15.1, min=6.3@548, max=29.4@435, sd=1.0, outliers=9
('D2013.10.01_S0838_I141', 5): avg=15.1, min=6.3@548, max=29.4@435, sd=1.0, outliers=9
('D2013.10.01_S0838_I141', 6): avg=15.1, min=6.3@548, max=29.5@435, sd=1.0, outliers=9
('D2013.10.03_S0841_I141', 1): avg=15.1, min=6.5@479, max=26.8@369, sd=1.0, outliers=18
('D2013.10.03_S0841_I141', 2): avg=15.1, min=6.5@479, max=26.8@369, sd=1.0, outliers=18
('D2013.10.03_S0841_I141', 3): avg=15.1, min=6.5@479, max=26.8@369, sd=1.0, outliers=18
('D2013.10.03_S0841_I141', 4): avg=15.1, min=6.5@479, max=26.8@369, sd=1.0, outliers=18
('D2013.10.03_S0841_I141', 5): avg=15.1, min=6.5@479, max=26.8@369, sd=1.0, outliers=18
('D2013.10.03_S0841_I141', 6): avg=15.1, min=6.5@479, max=26.8@369, sd=1.0, outliers=20
('D2013.10.03_S0841_I141', 7): avg=15.1, min=6.5@479, max=26.8@369, sd=1.1, outliers=22
('D2013.10.03_S0841_I141', 8): avg=15.1, min=6.5@479, max=26.7@369, sd=1.1, outliers=22
('D2013.10.03_S0841_I141', 9): avg=15.1, min=6.4@479, max=26.7@369, sd=1.2, outliers=24
('D2013.10.03_S0841_I141', 10): avg=15.1, min=6.4@479, max=26.7@369, sd=1.2, outliers=24
('D2013.10.07_S0844_I141', 1): avg=15.1, min=7.2@280, max=27.4@279, sd=1.1, outliers=17
('D2013.10.07_S0844_I141', 2): avg=15.1, min=7.2@280, max=27.3@279, sd=1.1, outliers=17
('D2013.10.07_S0844_I141', 3): avg=15.1, min=6.5@103, max=27.3@279, sd=1.2, outliers=20
('D2013.10.07_S0844_I141', 4): avg=15.1, min=6.5@103, max=27.3@279, sd=1.2, outliers=20
('D2013.10.07_S0844_I141', 5): avg=15.1, min=6.5@103, max=27.3@279, sd=1.2, outliers=20
('D2013.10.07_S0844_I141', 6): avg=15.1, min=6.5@103, max=27.3@279, sd=1.3, outliers=23
('D2013.10.07_S0844_I141', 7): avg=15.1, min=6.5@103, max=27.3@279, sd=1.3, outliers=23
('D2013.10.07_S0844_I141', 8): avg=15.1, min=6.4@103, max=27.3@279, sd=1.3, outliers=23
('D2013.10.07_S0844_I141', 9): avg=15.1, min=6.3@103, max=27.3@279, sd=1.3, outliers=23
('D2013.10.07_S0844_I141', 10): avg=15.1, min=6.3@103, max=27.3@279, sd=1.3, outliers=23
('D2013.10.07_S0844_I141', 11): avg=15.1, min=6.3@103, max=27.3@279, sd=1.3, outliers=22
('D2013.10.07_S0844_I141', 12): avg=15.1, min=6.3@103, max=27.3@279, sd=1.3, outliers=22
('D2013.10.08_S0845_I141', 1): avg=15.2, min=6.4@449, max=44.3@448, sd=1.7, outliers=11
('D2013.10.08_S0845_I141', 2): avg=15.2, min=6.4@449, max=44.2@448, sd=1.7, outliers=11
('D2013.10.08_S0845_I141', 3): avg=15.2, min=6.4@449, max=44.2@448, sd=1.7, outliers=13
('D2013.10.08_S0845_I141', 4): avg=15.2, min=6.4@449, max=44.2@448, sd=1.7, outliers=13
('D2013.10.09_S0847_I141', 1): avg=15.2, min=14.9@86, max=35.3@358, sd=1.4, outliers=8
('D2013.10.09_S0847_I141', 2): avg=15.2, min=14.8@86, max=35.3@358, sd=1.4, outliers=8
('D2013.10.09_S0847_I141', 3): avg=15.2, min=14.7@86, max=35.3@358, sd=1.4, outliers=8
('D2013.10.09_S0847_I141', 4): avg=15.2, min=14.6@86, max=35.3@358, sd=1.4, outliers=9
('D2013.10.09_S0847_I141', 5): avg=15.2, min=14.6@86, max=35.3@358, sd=1.4, outliers=9
('D2013.10.09_S0847_I141', 6): avg=15.2, min=14.6@86, max=35.4@358, sd=1.4, outliers=9
('D2013.10.09_S0847_I141', 7): avg=15.2, min=14.5@86, max=35.4@358, sd=1.4, outliers=9
('D2013.10.15_S0850_I141', 1): avg=15.0, min=8.3@572, max=20.0@553, sd=0.7, outliers=13
('D2013.10.15_S0850_I141', 2): avg=15.0, min=8.3@572, max=20.0@553, sd=0.7, outliers=14
('D2013.10.15_S0850_I141', 3): avg=15.0, min=8.3@572, max=20.9@587, sd=0.7, outliers=16
('D2013.10.15_S0850_I141', 4): avg=15.0, min=8.3@572, max=20.9@587, sd=0.7, outliers=16
('D2013.10.15_S0850_I141', 5): avg=15.0, min=8.3@572, max=21.0@587, sd=0.7, outliers=16
('D2013.10.15_S0850_I141', 6): avg=15.0, min=8.2@572, max=21.0@587, sd=0.7, outliers=15
('D2013.10.15_S0850_I141', 7): avg=15.0, min=8.2@572, max=21.1@587, sd=0.7, outliers=15
('D2013.10.15_S0850_I141', 8): avg=15.0, min=8.2@572, max=21.1@587, sd=0.7, outliers=15
('D2013.10.15_S0850_I141', 9): avg=15.0, min=8.2@572, max=21.0@587, sd=0.7, outliers=17
('D2013.10.18_S0854_I141', 1): avg=15.1, min=4.2@67, max=28.1@293, sd=1.1, outliers=9
('D2013.10.18_S0854_I141', 2): avg=15.1, min=4.2@67, max=28.1@293, sd=1.1, outliers=9
('D2013.10.18_S0854_I141', 3): avg=15.1, min=4.2@67, max=28.1@293, sd=1.1, outliers=9
